claim_type_id,primary_defect_code_id
SH,SHIPPING
PK,PACKING
CP,00009
MK,00009
QC,00009
CP,00010
MK,00010
QC,00010
CP,00011
MK,00011
QC,00011
CP,00014
MK,00014
QC,00014
CP,00017
MK,00017
QC,00017
CP,00018
MK,00018
QC,00018
CP,00019
MK,00019
QC,00019
CP,00022
MK,00022
QC,00022
CP,00023
MK,00023
QC,00023
CP,00025
MK,00025
QC,00025
CP,00029
MK,00029
QC,00029
CP,00030
MK,00030
QC,00030
CP,00035
MK,00035
QC,00035
CP,00037
MK,00037
QC,00037
CP,00038
MK,00038
QC,00038
CP,00040
MK,00040
QC,00040
CP,00044
MK,00044
QC,00044
CP,00049
MK,00049
QC,00049
CP,00050
MK,00050
QC,00050
CP,00052
MK,00052
QC,00052
CP,00053
MK,00053
QC,00053
CP,00055
MK,00055
QC,00055
CP,00057
MK,00057
QC,00057
CP,00058
MK,00058
QC,00058
CP,00059
MK,00059
QC,00059
CP,00073
MK,00073
QC,00073
